titulo,autores,anio,Línea prioritaria de investigación ECAP,tipo,estado,latitud,longitud,resumen,presupuesto
Actualización del balance hídrico del embalse Salve Faccha,John Satuquinga,2025,Manejo de embalses,Apoyo a investigacion,En curso,-0.230391,-78.154659,"El avance busca actualizar el balance hídrico del embalse Salve Faccha, en el Parque Nacional Cayambe-Coca, para reconocer los componentes que condicionan su disponibilidad de agua. Considera precipitación, entradas y salidas, evaporación, transpiración y cambios de almacenamiento mediante análisis de eventos y cálculos mensuales. Se espera obtener un balance actualizado que apoye la operación del embalse y la gestión del recurso hídrico.",
Actualización del modelo de distribución de recursos hídricos WEAP para la cuenca alta del río Guayllabamba y unidades hídricas aportantes de agua para el Distrito Metropolitano de Quito (DMQ),Alexander Bryan Rocha Villafuerte,2019,Hidrología,Apoyo a investigacion,En curso,-0.266817,-78.484937,"El proyecto propone actualizar el modelo WEAP para distribuir recursos hídricos en la cuenca alta del río Guayllabamba y las unidades que abastecen al Distrito Metropolitano de Quito. Prevé recopilar y depurar información hidrometeorológica, de oferta, demanda e infraestructura, e incorporar escenarios de disponibilidad. Los productos previstos son una estructura de modelación actualizada y simulaciones para analizar asignación, déficit y alternativas de manejo.",
Análisis de la variabilidad espacio-temporal de la precipitación y su relación con las proyecciones de cambio climático en las zonas Antisana-Papallacta,Cristina Aguirre,2026,Cambio climático y global,Apoyo a investigacion,En curso,-0.336482,-78.152731,"La investigación analiza la variabilidad espacial y temporal de la precipitación y los extremos climáticos en Antisana-Papallacta, y la contrasta con las series de SEI-WEAP. Procesó registros diarios de 2010 a 2024 de 26 estaciones FONAG-EPMAPS mediante control de calidad, pruebas de homogeneidad, índices de extremos y comparación entre Kriging e IDW. El documento disponible reporta 35 episodios de sequía, mejor desempeño de Kriging y baja concordancia local con WEAP, evidencias que sirven para recalibrar umbrales de gestión.",
Análisis de riesgo territorial en la cuenca Rumipamba mediante clasificación de cobertura y uso de suelo con UAV y SIG,Xavier Marcelo Mena Vela,2026,Análisis Socioeconómicos y Ambientales,Apoyo a investigacion,En curso,-0.1681645569,-78.5253708936,"El estudio analiza el riesgo territorial de la cuenca Rumipamba a partir de la cobertura y el uso del suelo. Combina levantamiento con UAV, procesamiento fotogramétrico, clasificación supervisada SVM, variables topográficas, hidrológicas y ambientales, e integración multicriterio mediante AHP. El documento disponible reporta cartografía de 0,20 m y un modelo que identifica sectores con distinta susceptibilidad, útil para planificación y prevención de impactos.",
"Análisis espacial del almacenamiento de carbono orgánico en las turberas altoandinas del humedal Jatunhuayco, Área de Conservación Hídrica Antisana, Ecuador",Gabriela Raquel Núñez Caiza,2026,Cambio climático y global,Apoyo a investigacion,En curso,-0.480461,-78.229146,"El trabajo evalúa el almacenamiento espacial de carbono orgánico en las turberas altoandinas del humedal Jatunhuayco, en el Área de Conservación Hídrica Antisana. Emplea muestreos georreferenciados de suelo, determinación de carbono orgánico y densidad aparente, y análisis cartográfico de su variación. El documento disponible reporta un almacenamiento medio de 232,48 Mg C ha⁻¹ en los primeros 20 cm y valores mayores en zonas más saturadas, como base para proteger y manejar el humedal.",
"Caracterización y análisis de la composición de isotopos estables en ecosistemas fuentes de agua, dentro de áreas de interés hídrico, desde las que se abastece el Distrito Metropolitano de Quito, gestionadas por el FONAG",Verónica Guamán (responsable FONAG/EPMAPS),2026,Hidrología,Apoyo a investigacion,En curso,-0.401728,-78.311662,"El perfil busca caracterizar la composición de isótopos estables del agua, deuterio y oxígeno-18, en ecosistemas fuente gestionados por FONAG que abastecen al Distrito Metropolitano de Quito. Prevén muestrear precipitación y caudales en Antisana y Alto Pita y comparar sus firmas isotópicas. Se esperan una línea base isotópica, relaciones entre lluvia y escorrentía, y evidencia para interpretar el origen y la dinámica del agua.",
"Determinación de la composición bacteriana del suelo y su relación con la sequía inducida, en el páramo del Volcán Antisana, Ecuador",Andrii Caisabanda Tyshkovskyi,2023,Ecología de páramo,Apoyo a investigacion,En curso,-0.495384,-78.205438,"La investigación examina cómo una sequía inducida modifica la composición bacteriana del suelo en el páramo del volcán Antisana. Excluyó lluvia en parcelas durante cinco meses y comparó parcelas intervenidas y control mediante humedad, variables fisicoquímicas y secuenciación 16S para diversidad alfa y beta. El documento disponible registra que la exclusión redujo significativamente la humedad, pero no confirmó cambios significativos en la composición bacteriana durante el experimento.",
Dinámicas metabólicas en ríos altoandinos bajo condiciones hidrológicas contrastantes,Paola Fuentes (responsable FONAG/EPMAPS),2026,Hidrología,Apoyo a investigacion,En curso,-0.394692,-78.323841,"La necesidad de investigación plantea describir las dinámicas metabólicas de ríos altoandinos bajo condiciones hidrológicas contrastantes en el Área de Conservación Hídrica Antisana. Usará registros de alta frecuencia de oxígeno disuelto y dióxido de carbono en siete estaciones, junto con variables hidrometeorológicas, para calcular métricas de producción y respiración fluvial. Se espera una caracterización de su variabilidad estacional y una base para el monitoreo ecológico de los ríos.",
"Diversidad funcional y patrones de actividad de mamíferos medianos y grandes en el Refugio de Vida Silvestre APH Ponce-Paluguillo, Pichincha-Ecuador",Rachell Nayomi Fonseca Vinueza,2024,Ecología de páramo,Apoyo a investigacion,En curso,-0.310089,-78.234808,"El estudio caracteriza la diversidad funcional y los patrones de actividad de mamíferos medianos y grandes en el Refugio de Vida Silvestre APH Ponce-Paluguillo. Emplea una red de cámaras trampa y analiza registros de presencia, actividad y hábitat por especie. El archivo disponible reporta 12 especies identificadas durante el monitoreo de 2020 a 2024, con el conejo andino como la más frecuente y registros continuos de perro doméstico; estos datos apoyan el seguimiento y la conservación del refugio.",
El legado de Humboldt en su viaje por Ecuador desde redes subterráneas: mapeo de comunidades de hongos micorrízicos,Jessica Duchicela,2025,Ecología de páramo,Apoyo a investigacion,En curso,-0.871322,-78.548681,"La nota conceptual propone mapear comunidades de hongos micorrízicos del suelo a lo largo de un gradiente altoandino entre Chimborazo, Antisana y Pichincha, siguiendo las rutas históricas de Humboldt. Prevén muestreo estandarizado de suelos por altitud y análisis de ADN de hongos micorrízicos arbusculares y ectomicorrízicos. Los productos esperados son mapas de distribución, una línea base de biodiversidad subterránea y evidencia para la conservación y restauración de ecosistemas altoandinos.",
